;lambda=0.0 epsilon=0.25;lambda=0.0 epsilon=0.5;lambda=0.0 epsilon=0.75;lambda=0.0 epsilon=1.0;lambda=0.25 epsilon=0.25;lambda=0.25 epsilon=0.5;lambda=0.25 epsilon=0.75;lambda=0.25 epsilon=1.0;lambda=0.5 epsilon=0.25;lambda=0.5 epsilon=0.5;lambda=0.5 epsilon=0.75;lambda=0.5 epsilon=1.0;lambda=0.75 epsilon=0.25;lambda=0.75 epsilon=0.5;lambda=0.75 epsilon=0.75;lambda=0.75 epsilon=1.0;lambda=1.0 epsilon=0.25;lambda=1.0 epsilon=0.5;lambda=1.0 epsilon=0.75;lambda=1.0 epsilon=1.0;
hclust_height_0.25_single;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.7134063057636206;0.7134063057636206;0.7134063057636206;0.7134063057636206;
hclust_height_0.25_average;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.7134063057636206;0.7134063057636206;0.7134063057636206;0.7134063057636206;
hclust_height_0.25_complete;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.7134063057636206;0.7134063057636206;0.7134063057636206;0.7134063057636206;
hclust_height_0.5_single;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;
hclust_height_0.5_average;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;
hclust_height_0.5_complete;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.9035000824425834;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;
hclust_height_0.75_single;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;
hclust_height_0.75_average;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;
hclust_height_0.75_complete;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.8208952492900796;0.6843729751257532;0.6843729751257532;0.6843729751257532;0.6843729751257532;0.41849834544782144;0.41849834544782144;0.41849834544782144;0.41849834544782144;
